,Element Name,Element Type,Database,PosReg Name,PosReg Type,PosReg ID,,NegReg Name,NegReg Type,NegReg ID,,Connection Type,Negative Reg DB,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2906,glycolysis,bioprocess,go:0006096, , , , ,p53,protein,p04637, ,i,"['uniprot', 'uniprot', 'uniprot']","['activation', 'activation', 'activation']","['pmc3405207', 'pmc3405207', 'pmc3405207']","['p53 induces cell-cycle arrest and apoptosis in cancer cells and negatively regulates glycolysis via tigar.', 'as p53 downregulates glycolysis through tigar and upregulates oxidative phosphorylation through sco2 (xref_bibr), we hypothesised that p53 might fail to antagonistically regulate glycolysis and oxidative phosphorylation under identical conditions of cellular stress.', 'as p53 downregulates glycolysis through tigar and upregulates oxidative phosphorylation through sco2 (xref_bibr), we hypothesised that p53 might fail to antagonistically regulate glycolysis and oxidative phosphorylation under identical conditions of cellular stress.']",3,0.1,41,1,41.3
1836,de-rb, , ,tigar,protein,q9nq88, , , , , ,i,"[' ', ' ', ' ']","['dephosphorylation', 'dephosphorylation', 'dephosphorylation']","['pmc3405207', 'pmc3405207', 'pmc3405207']","['tigar mediates de-phosphorylation of rb and stabilisation of rb â€“ e2f1 complex thus delaying the entry of cells in s phase of the cell cycle.', 'tigar mediates de-phosphorylation of rb and stabilises rb â€“ e2f1 complex.', 'the exogenous addition of tigar cdna also induces de-phosphorylation of rb protein (xref_fig, lane 6).']",3,0.1,41,1,41.3
1212,cell cycle,bioprocess,go:0007049, , , , ,rb,protein,p06400, ,i,"['uniprot', 'uniprot', 'uniprot']","['inhibition', 'activation', 'inhibition']","['pmc1764425', 'pmc1914394', 'pmc3180221']","['studies in non retinal cells have shown that rb can inhibit cell cycle progression through regulation of e2f1 and p27 kip1 [xref_bibr - xref_bibr], and may induce a senescence like response through e2f dependent or e2f independent mechanisms [xref_bibr - xref_bibr].', 'rb absence impairs cell cycle exit and triggers death of some neurons, so differentiation defects may well be indirect.', 'these observations suggest that rb loss potentially initiates tumor development by triggering cell cycle re-entry of post-mitotic cells, at least in specific contexts.']",3,0.1,41,1,41.3
465,angiogenesis,bioprocess,go:0001525,myr-akt,protein,p54644, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['over-expression of the myristylated form of the pi3k akt (myr-akt) also induces angiogenesis [xref_bibr].', 'over-expression of the myristylated form of the pi3k akt (myr-akt) also induces angiogenesis [xref_bibr].', 'over-expression of the myristylated form of the pi3k akt (myr-akt) also induces angiogenesis [xref_bibr].']",3,0.1,41,1,41.3
5945,"tuberin, which was inhibited by the pi3k inhibitor ly294002", , ,insulin,protein,p01308, , , , , ,i,"[' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].']",3,0.1,41,1,41.3
5935,tuberin, , ,insulin,protein,p01308, , , , , ,i,"[' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].']",3,0.1,41,1,41.3
2953,gtpase-responsive domain,protein,uaz07745,rac1,protein,p63000, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['h-ras and rac1 activate pi3k by targeting the gtpase responsive domain [xref_bibr].', 'h-ras and rac1 activate pi3k by targeting the gtpase responsive domain [xref_bibr].', 'h-ras and rac1 activate pi3k by targeting the gtpase responsive domain [xref_bibr].']",3,0.1,41,1,41.3
3780,metabolism,bioprocess,go:0008152, , , , ,metformin,simple-chemical,4091, ,i,"['pubchem', 'pubchem', 'pubchem']","['inhibition', 'inhibition', 'inhibition']","['pmc4666657', 'pmc4666657', 'pmc4666657']","['given that metformin treatment reduces etc activity and impacts glycolytic metabolism and lactate production, it remains possible that metformin may act by modulating metabolic pathways required for tumor cell growth and proliferation.', 'as reported previously [xref_bibr], metformin could promote reductive glutamine metabolism in 143bwt cells (generation of m + 5 citrate from u-[13 c]-glutamine), while 143bcytb cells displayed reductive carboxylation even in the absence of metformin (xref_fig).', 'similar to previous observations [xref_bibr, xref_bibr], we found that metformin could stimulate reductive glutamine metabolism in tumor cells, characterized by the formation of m + 5 citrate from u-[13 c]-glutamine.']",3,0.1,41,1,41.3
4649,pi3k-akt,family,akt,alk,protein,q9um73, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['it was reported that npm / alk constitutively activates the pi3k-akt pathway and that this pathway plays an important role in the npm / alk mediated malignant transformation [xref_bibr].', 'it was reported that npm / alk constitutively activates the pi3k-akt pathway and that this pathway plays an important role in the npm / alk mediated malignant transformation [xref_bibr].', 'it was reported that npm / alk constitutively activates the pi3k-akt pathway and that this pathway plays an important role in the npm / alk mediated malignant transformation [xref_bibr].']",3,0.1,41,1,41.3
1912,dexamethasone-induced,family,pf15198, , , , ,akt,family,akt, ,i,"['be', 'be', 'be']","['inhibition', 'inhibition', 'inhibition']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['expression of an active akt, reversed wortmannin- and dexamethasone induced apoptosis and growth inhibition in pten-null myeloma lines, suggesting that akt lies downstream of pi3k for pten-null myeloma survival and dexamethasone resistance [xref_bibr].', 'expression of an active akt, reversed wortmannin- and dexamethasone induced apoptosis and growth inhibition in pten-null myeloma lines, suggesting that akt lies downstream of pi3k for pten-null myeloma survival and dexamethasone resistance [xref_bibr].', 'expression of an active akt, reversed wortmannin- and dexamethasone induced apoptosis and growth inhibition in pten-null myeloma lines, suggesting that akt lies downstream of pi3k for pten-null myeloma survival and dexamethasone resistance [xref_bibr].']",3,0.1,41,1,41.3
5154,resveratrol-induced apoptosis, , , , , , ,pi3k,protein,pi3k, ,i,"['be', 'be', 'be']","['activation', 'activation', 'activation']","['pmc3181262', 'pmc3181262', 'pmc3181262']","['inhibition of pi3k / akt and map kinase pathways enhance resveratrol induced apoptosis.', 'these data suggest that inhibition of pi3k / akt pathway enhances resveratrol induced apoptosis in pancreatic cancer cells.', 'based on these data, it can be suggested that the inhibition of pi3k / akt and mek / erk pathways act together to enhance resveratrol induced apoptosis.']",3,0.1,41,1,41.3
5936,tuberin, , ,ly294002,simple-chemical,3973, , , , , ,i,"[' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].']",3,0.1,41,1,41.3
1420,cell motility,bioprocess,go:0016477,integrin,protein,p08648, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2156182', 'pmc2156182', 'pmc2156182']","['shc was found to regulate integrin mediated cell motility.', 'these findings indicate for the first time that a shc pathway can selectively regulate integrin mediated random cell motility and that pten can suppress cell motility by distinct pathways that diverge at the level of shc and fak.', 'in fact, map kinase activation can accelerate integrin mediated cell motility in some cells (leavesley et al.']",3,0.1,41,1,41.3
5976,ubiquitin,protein,p0cg47,e3,simple-chemical,5756, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['in addition, an ubiquitin e3 ligase, the scf (skp2) complex, mediates p27 (kip1) ubiquitin dependent proteolysis.', 'in addition, an ubiquitin e3 ligase, the scf (skp2) complex, mediates p27 (kip1) ubiquitin dependent proteolysis.', 'in addition, an ubiquitin e3 ligase, the scf (skp2) complex, mediates p27 (kip1) ubiquitin dependent proteolysis.']",3,0.1,41,1,41.3
2021,dna repair,bioprocess,go:0006281,mgmt,protein,p16455, , , , , ,i,"[' ', ' ', ' ']","['inhibition', 'inhibition', 'activation']","['pmc4588584', 'pmc4588584', 'pmc4076028']","['knockdown of mgmt reduces dna repair capacity and enhances dna damage after irradiation.', 'our studies confirm that mgmt knockdown reduced the dna repair capacity and promotes cell apoptosis in mb-231 / erp29 cells after irradiation treatment.', 'studies have indicated that mgmt mediated dna repair is the clinically relevant primary mechanism of resistance to tmz.']",3,0.1,41,1,41.3
5523,tert,protein,o14746,lmp-1,protein,q11117, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc3943417', 'pmc3943417', 'pmc3943417']","['we have demonstrated that lmp-1 activates tert at the transcriptional level via nf-kb and mapk/erk1/2 pathways [xref_bibr].', 'in epithelial cells, tert expression may be also myc dependent since mutagenesis of myc responsive e-box elements in the tert promoter inhibited tert transactivation induced by lmp-1 [xref_bibr].', 'this is of particular interest considering that, while in ebv negative bl the translocated and over-expressed myc plays a key role in tert activation, in ebv positive diffuse large b-cell lymphomas and immunoblastic lymphomas where myc is in germ-line configuration, tert is likely to be activated by lmp-1, as it occurs in lcls [xref_bibr].']",3,0.1,41,1,41.3
4066,nf-Îºb-,protein,uaz07748,Î±,simple-chemical,uaz00142, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['inducible expression of either dominant negative ikk Î± or pten strongly inhibited both the constitutive nf-Îº b- and Î²-catenin-dependent promoter and endogenous gene activation [xref_bibr].', 'inducible expression of either dominant negative ikk Î± or pten strongly inhibited both the constitutive nf-Îº b- and Î²-catenin-dependent promoter and endogenous gene activation [xref_bibr].', 'inducible expression of either dominant negative ikk Î± or pten strongly inhibited both the constitutive nf-Îº b- and Î²-catenin-dependent promoter and endogenous gene activation [xref_bibr].']",3,0.1,41,1,41.3
1391,cell migration,bioprocess,go:0016477,fak,protein,q05397, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2156182', 'pmc2156182', 'pmc2156182']","['because it had been reported previously that fak overexpression significantly increases cho cell migration (cary et al.', 'we found that fak overexpression did enhance cell migration of cho cells in this system to 165% of controls transfected with gfp (âˆ’) alone (data not shown).', 'furthermore, the phosphatidylinositol 3 â€²-kinase inhibitor wortmannin substantially inhibited cell migration activated by fak overexpression, producing a 65% reduction in rates of fak induced cell motility (xref_table).']",3,0.1,41,1,41.3
5938,tuberin, , ,pi3k inhibitor,simple-chemical,uaz00019, , , , , ,i,"[' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].']",3,0.1,41,1,41.3
5942,"tuberin, which was inhibited by the pi3k inhibitor", , ,igf-i,protein,p05019, , , , , ,i,"[' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].']",3,0.1,41,1,41.3
1761,cytokinesis,bioprocess,go:0000910,foxo,family,foxo, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['foxo activity in g2 controls mammalian cell cycle termination, as interference with foxo transcriptional activation by disrupting pi3k / akt downregulation, or by expressing a transcriptionally inactive foxo mutant, induces cell accumulation in g2/m, defective cytokinesis, and delayed transition from m to g1 of the cell cycle [xref_bibr].', 'foxo activity in g2 controls mammalian cell cycle termination, as interference with foxo transcriptional activation by disrupting pi3k / akt downregulation, or by expressing a transcriptionally inactive foxo mutant, induces cell accumulation in g2/m, defective cytokinesis, and delayed transition from m to g1 of the cell cycle [xref_bibr].', 'foxo activity in g2 controls mammalian cell cycle termination, as interference with foxo transcriptional activation by disrupting pi3k / akt downregulation, or by expressing a transcriptionally inactive foxo mutant, induces cell accumulation in g2/m, defective cytokinesis, and delayed transition from m to g1 of the cell cycle [xref_bibr].']",3,0.1,41,1,41.3
5943,"tuberin, which was inhibited by the pi3k inhibitor", , ,insulin,protein,p01308, , , , , ,i,"[' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].']",3,0.1,41,1,41.3
987,bzlf1 mrna expression, , ,wt bnrf1,protein,uaz06068, , , , , ,i,"[' ', ' ', ' ']","['increaseamount', 'increaseamount', 'increaseamount']","['pmc3213115', 'pmc3213115', 'pmc3213115']","['we found that wt bnrf1 complementation induced an up-regulation of ebna1, ebna2 and bzlf1 mrna expression compared with non complemented virus or the d26-mutant complementation.', 'we found that wt bnrf1 complementation induced an up-regulation of ebna1, ebna2 and bzlf1 mrna expression compared with non complemented virus or the d26-mutant complementation.', 'we found that wt bnrf1 complementation induced an up-regulation of ebna1, ebna2 and bzlf1 mrna expression compared with non complemented virus or the d26-mutant complementation.']",3,0.1,41,1,41.3
5525,tert,protein,o14746,luciferase promoter,protein,uaz05767, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc4808026', 'pmc4808026', 'pmc4808026']","['the luciferase promoter activity of the tert reporter vector with rs2853669 (âˆ’ 245t> c) was increased in all four hcc cell lines examined (t-test, p < 0.001 for all cell lines; figure xref_fig).', 'furthermore, the luciferase promoter activity of the tert reporter vector with both rs2853669 and âˆ’ 124c> t was significantly greater than that of vectors with the âˆ’ 124c> t mutation only (t-test, p = 0.002 for huh7, p = 0.012 for hepg2, p < 0.001 for hep3b, and p < 0.001 for snu-449; figure xref_fig), which indicates a marked impact by the combination on tert expression up-regulation.', 'we show that rs2853669 (âˆ’ 245t> c) does not affect the luciferase promoter activity of the tert reporter vector with the âˆ’ 146c> t mutation (figure xref_fig) which is a rare mutation in our hcc patient cohorts (0 case out of 93 cases for the smh cohort, and 1 case out of 72 cases for the ku cohort; xref_supplementary).']",3,0.1,41,1,41.3
3310,invasion,bioprocess,d009361, , , , ,u0126,simple-chemical,3006531, ,i,"['pubchem', 'pubchem', 'pubchem']","['inhibition', 'inhibition', 'inhibition']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['both ly294002 and u0126, a mek 1/2 inhibitor, reduced invasion, which correlated with reduction of the metalloproteinase matrix metalloproteinase 2 [xref_bibr].', 'both ly294002 and u0126, a mek 1/2 inhibitor, reduced invasion, which correlated with reduction of the metalloproteinase matrix metalloproteinase 2 [xref_bibr].', 'both ly294002 and u0126, a mek 1/2 inhibitor, reduced invasion, which correlated with reduction of the metalloproteinase matrix metalloproteinase 2 [xref_bibr].']",3,0.1,41,1,41.3
5944,"tuberin, which was inhibited by the pi3k inhibitor ly294002", , ,igf-i,protein,p05019, , , , , ,i,"[' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].']",3,0.1,41,1,41.3
2961,h3.3,protein,uaz05902, , , , ,hira,protein,p54198, ,i,"['uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition']","['pmc4509593', 'pmc4509593', 'pmc4509593']","['atrx and daxx deletion, but not hira, attenuated h3.3 enrichment at telomeres as well as at iap ervs, but not at etn / musd ervs (xref_fig and xref_fig), indicating that atrx / daxx is required for h3.3 enrichment at specific subclasses of ervs.', 'atrx and daxx deletion, but not hira, attenuated h3.3 enrichment at telomeres as well as at iap ervs, but not at etn / musd ervs (xref_fig and xref_fig), indicating that atrx / daxx is required for h3.3 enrichment at specific subclasses of ervs.', 'atrx and daxx deletion, but not hira, attenuated h3.3 enrichment at telomeres as well as at iap ervs, but not at etn / musd ervs (xref_fig and xref_fig), indicating that atrx / daxx is required for h3.3 enrichment at specific subclasses of ervs.']",3,0.1,41,1,41.3
1413,cell migration,bioprocess,go:0016477,Î±,simple-chemical,uaz00142, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['cell migration was inhibited by overexpression of a dominant negative p85 Î±, as well as by pretreatment of cells with wortmannin and ly294002 [xref_bibr].', 'cell migration was inhibited by overexpression of a dominant negative p85 Î±, as well as by pretreatment of cells with wortmannin and ly294002 [xref_bibr].', 'cell migration was inhibited by overexpression of a dominant negative p85 Î±, as well as by pretreatment of cells with wortmannin and ly294002 [xref_bibr].']",3,0.1,41,1,41.3
2683,fgarat,protein,o15067, , , , ,bnrf1,protein,uaz06055, ,i,"['uaz', 'uaz', 'uaz']","['inhibition', 'inhibition', 'inhibition']","['pmc3213115', 'pmc3213115', 'pmc3213115']","['in contrast, the bnrf1 d3 and d4 mutants, which disrupts most of the fgarat and air synthetase homology regions, efficiently pulled down both atrx and daxx.', 'in contrast, the bnrf1 d3 and d4 mutants, which disrupts most of the fgarat and air synthetase homology regions, efficiently pulled down both atrx and daxx.', 'in contrast, the bnrf1 d3 and d4 mutants, which disrupts most of the fgarat and air synthetase homology regions, efficiently pulled down both atrx and daxx.']",3,0.1,41,1,41.3
5524,tert,protein,o14746,lps,simple-chemical,53481793, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc4698632', 'pmc4698632', 'pmc4698632']","['moreover, etoh significantly up-regulated tert in isolated kcs and raw 264.7 cells and lps induced tert production in vitro.', 'lps stimulates tert production in raw264.7 cells exposed to ethanol.', 'in addition, tert was also obviously up-regulated in raw 264.7 cells in response to alcohol exposure, and lps further enhanced tert production in alcohol treated macrophages.']",3,0.1,41,1,41.3
1764,d-2-hg,protein,uaz07831,idh,protein,o75874, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc4496170', 'pmc4496170', 'pmc4496170']","['among these Î±-kg-dependent dioxygenases, the jmjc domain containing histone demethylases (kdms) and the tet (ten-eleven translocation) family of dna hydroxylases have emerged as the two major targets of d-2-hg produced by mutant idh in promoting tumorigenesis [xref_bibr].', 'although the overwhelming genetic evidence of idh mutation in human cancer unequivocally supports a role of d-2-hg in tumorigenesis, some key questions, such as whether d-2-hg is required only for initiation and/or maintenance of tumorigenic potential, have not been satisfactorily answered.', 'mechanistically, d-2-hg produced by mutant idh can alter epigenetic modifications by inhibiting Î±-kg-dependent histone and dna demethylases [xref_bibr].']",3,0.1,41,1,41.3
1401,cell migration,bioprocess,go:0016477,p85,family,pi3k_p85, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['cell migration was inhibited by overexpression of a dominant negative p85 Î±, as well as by pretreatment of cells with wortmannin and ly294002 [xref_bibr].', 'cell migration was inhibited by overexpression of a dominant negative p85 Î±, as well as by pretreatment of cells with wortmannin and ly294002 [xref_bibr].', 'cell migration was inhibited by overexpression of a dominant negative p85 Î±, as well as by pretreatment of cells with wortmannin and ly294002 [xref_bibr].']",3,0.1,41,1,41.3
5150,resveratrol-induced apoptosis, , , , , , ,akt,family,akt, ,i,"['be', 'be', 'be']","['activation', 'activation', 'activation']","['pmc3181262', 'pmc3181262', 'pmc3181262']","['inhibition of pi3k / akt and map kinase pathways enhance resveratrol induced apoptosis.', 'these data suggest that inhibition of pi3k / akt pathway enhances resveratrol induced apoptosis in pancreatic cancer cells.', 'based on these data, it can be suggested that the inhibition of pi3k / akt and mek / erk pathways act together to enhance resveratrol induced apoptosis.']",3,0.1,41,1,41.3
533,apoptosis,bioprocess,go:0006915, , , , ,mgmt,protein,p16455, ,i,"['uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition']","['pmc4588584', 'pmc4588584', 'pmc4588584']","['in addition, radiation treatment in the mgmt-knockdown cells elevated phosphorylation of Î³-h2ax and cleavage of caspase 3, indicating that depletion of mgmt facilitates dna double strands breaks and increases cell apoptosis.', 'knockdown of mgmt enhances cell apoptosis in the erp29 transfected mda-mb-231 cells.', 'our studies confirm that mgmt knockdown reduced the dna repair capacity and promotes cell apoptosis in mb-231 / erp29 cells after irradiation treatment.']",3,0.1,41,1,41.3
991,c-fos,protein,uaz01049, , , , ,c-fos,protein,uaz01049, ,i,"['uaz', 'uaz', 'uaz']","['activation', 'activation', 'activation']","['pmc3657165', 'pmc3657165', 'pmc3657165']","['decreased levels of c-fos and bdnf exon iv in daxx deficient cells were not due to a delayed induction peak, because we detected a reduced amplitude of bdnf exon iv and c-fos expression at all time points analyzed (xref_fig b).', 'decreased levels of c-fos and bdnf exon iv in daxx deficient cells were not due to a delayed induction peak, because we detected a reduced amplitude of bdnf exon iv and c-fos expression at all time points analyzed (xref_fig b).', 'decreased levels of c-fos and bdnf exon iv in daxx deficient cells were not due to a delayed induction peak, because we detected a reduced amplitude of bdnf exon iv and c-fos expression at all time points analyzed (xref_fig b).']",3,0.1,41,1,41.3
3298,invasion,bioprocess,d009361, , , , ,ly294002,simple-chemical,3973, ,i,"['pubchem', 'pubchem', 'pubchem']","['inhibition', 'inhibition', 'inhibition']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['both ly294002 and u0126, a mek 1/2 inhibitor, reduced invasion, which correlated with reduction of the metalloproteinase matrix metalloproteinase 2 [xref_bibr].', 'both ly294002 and u0126, a mek 1/2 inhibitor, reduced invasion, which correlated with reduction of the metalloproteinase matrix metalloproteinase 2 [xref_bibr].', 'both ly294002 and u0126, a mek 1/2 inhibitor, reduced invasion, which correlated with reduction of the metalloproteinase matrix metalloproteinase 2 [xref_bibr].']",3,0.1,41,1,41.3
3253,insulin-induced of akt1/2, , , , , , ,pi3k,protein,pi3k, ,i,"['be', 'be', 'be']","['dephosphorylation', 'phosphorylation', 'dephosphorylation']","['pmc3842210', 'pmc3842210', 'pmc3842210']","['insulin induced phosphorylation of akt1/2 was suppressed by wortmannin and knocking-down pi3k, while no significant inhibition of the phosphorylation was obtained with bx912 or knocking-down pdk1.', 'surprisingly, insulin induced phosphorylation of akt1/2 was abrogated by the pi3k inhibitor wortmannin or knocking-down pi3k in 3t3-l1-glut4myc adipocytes, yet it was not significantly inhibited by the pdk1 inhibitor bx912 or knocking-down pdk1.', 'strangely, insulin induced phosphorylation of akt1/2 both at thr308/309 and ser473/474 in adipocytes was abrogated by wortmannin and knocking-down pi3k, but otherwise no significant inhibition of akt1/2 phosphorylation at each site was obtained with bx912 and knocking-down pdk1.']",3,0.1,41,1,41.3
4652,pi3k-akt,family,akt,npm,protein,p06748, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['it was reported that npm / alk constitutively activates the pi3k-akt pathway and that this pathway plays an important role in the npm / alk mediated malignant transformation [xref_bibr].', 'it was reported that npm / alk constitutively activates the pi3k-akt pathway and that this pathway plays an important role in the npm / alk mediated malignant transformation [xref_bibr].', 'it was reported that npm / alk constitutively activates the pi3k-akt pathway and that this pathway plays an important role in the npm / alk mediated malignant transformation [xref_bibr].']",3,0.1,41,1,41.3
5956,type 5 gene expression, , ,daxx,protein,q9uer7, , , , , ,i,"[' ', ' ', ' ']","['increaseamount', 'increaseamount', 'increaseamount']","['pmc3616723', 'pmc3616723', 'pmc3616723']","['control of human adenovirus type 5 gene expression by cellular daxx / atrx chromatin associated complexes.', 'control of human adenovirus type 5 gene expression by cellular daxx / atrx chromatin associated complexes.', 'control of human adenovirus type 5 gene expression by cellular daxx / atrx chromatin associated complexes.']",3,0.1,41,1,41.3
986,bzlf1 expression, , ,bnrf1,protein,uaz06055, , , , , ,i,"[' ', ' ', ' ']","['increaseamount', 'increaseamount', 'increaseamount']","['pmc3213115', 'pmc3213115', 'pmc3213115']","['interestingly, background levels of bzlf1 expression were detectable in non complemented and d26 mutant infections, suggesting that bnrf1 may only partly enhance bzlf1 expression, which can occur at low levels independently of bnrf1.', 'interestingly, background levels of bzlf1 expression were detectable in non complemented and d26 mutant infections, suggesting that bnrf1 may only partly enhance bzlf1 expression, which can occur at low levels independently of bnrf1.', 'interestingly, background levels of bzlf1 expression were detectable in non complemented and d26 mutant infections, suggesting that bnrf1 may only partly enhance bzlf1 expression, which can occur at low levels independently of bnrf1.']",3,0.1,41,1,41.3
1908,dethe histone chaperone daxx, , ,calcium,simple-chemical,5460341, , , , , ,i,"[' ', ' ', ' ']","['dephosphorylation', 'dephosphorylation', 'dephosphorylation']","['pmc3657165', 'pmc3657165', 'pmc3657165']","['calcium dependent dephosphorylation of the histone chaperone daxx regulates h3.3 loading and transcription upon neuronal activation.', 'calcium dependent dephosphorylation of the histone chaperone daxx regulates h3.3 loading and transcription upon neuronal activation.', 'calcium dependent dephosphorylation of the histone chaperone daxx regulates h3.3 loading and transcription upon neuronal activation.']",3,0.1,41,1,41.3
2588,expression of the alpl, , , , , , ,idh1,protein,o75874, ,i,"['uniprot', 'uniprot', 'uniprot']","['decreaseamount', 'decreaseamount', 'decreaseamount']","['pmc4498635', 'pmc4498635', 'pmc4498635']","['on the other hand, idh1 r132c inhibited expression of the alpl gene in association with an increase in the repressive mark (h3k9me3), and subsequently inhibited the osteogenic properties of hmscs and human osteosarcoma cells.', 'the induction of idh1 r132c, but not wild-type idh1, down-regulated the expression of the alpl gene (xref_fig), and osteogenic differentiation properties were inhibited, as determined by the lower amount ca deposited (xref_fig) and smaller number of alizarin-red-positive calcified nodules (xref_fig), which was consistent with the results obtained in hmscs.', 'the induction of idh1 r132c, but not wild-type idh1, down-regulated the expression of the alpl gene (xref_fig), and osteogenic differentiation properties were inhibited, as determined by the lower amount ca deposited (xref_fig) and smaller number of alizarin-red-positive calcified nodules (xref_fig), which was consistent with the results obtained in hmscs.']",3,0.1,41,1,41.3
