,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3060,irs,protein family,pf02174,plasma membrane,go:0005886,nan,nan,nan,grb2-sos,other,uaz02100,plasma membrane,go:0005886,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc2683723'],"['phosphorylated irs and gab1 recruit cytoplasmic proteins pi3k , grb2-sos , shp2 , and rasgap to the plasma membrane , which results in additional pip 3 production and both activatory and inhibitory regulations of ras activity .']",1,100.0,40.0,1.0,140.0
3303,mdm2,protein,q00987,nan,nan,cellosaurus:cvcl_0535,nan,uberon:uberon:0006611,nan,nan,nan,nan,nan,cdk4 inhibitor,other,uaz00484,nan,nan,i,['none'],['pmc4480747'],"['furthermore , knocking down p53 in ls8817 cells did not disrupt either cdk4 inhibitor induced down-regulation of mdm2 or accumulation of sa-beta-gal ( or sahf , not shown ) , nor did it prevent mdm2 knockdown induced senescence ( xref_supplementary ) .']",1,100.0,40.0,1.0,140.0
3235,mammalian target of rapamycin,protein,p42345,nan,nan,nan,nan,nan,ppargamma,protein,p37231,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc1892639'],"['the mechanisms responsible for this effect remain incompletely elucidated , but ppargamma ligands appear to inhibit the mammalian target of rapamycin ( mtor ) pathway .']",1,100.0,40.0,1.0,140.0
3234,mammalian target of rapamycin,protein,p42345,nan,nan,cellosaurus:cvcl_u325,nan,nan,temsirolimus,chemical,148191,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4936323'],"['two rapalogues that inhibit mammalian target of rapamycin complex 1 ( mtorc1 ) , everolimus and temsirolimus , have also been introduced in clinical practice for treating patients with mrcc [ xref_bibr , xref_bibr ] .']",1,100.0,40.0,1.0,140.0
3240,mapk,protein family|protein complex,erk,nan,nan,cellosaurus:cvcl_0023,cl:cl:0000312,nan,peroxisome proliferator-activated receptor,protein family,ipr003074,nan,nan,nan,nan,nan,nan,nan,i,['phosphorylation'],['pmc3709701'],"['in rat liver epithelial cells , gn4 , peroxisome proliferator activated receptor ligand induced not only the pyk2-p38 mapk pathway but also the y845 phosphorylation induced grb2-sos-ras-erk pathway , the latter of which can be blocked by the application of either pp2 or the antioxidant n-acetyl-l-cysteine , suggesting that src and ros are involved in this signaling system [ xref_bibr ] .']",1,100.0,40.0,1.0,140.0
3232,mammalian target of rapamycin,protein,p42345,nan,nan,cellosaurus:cvcl_u325,nan,nan,everolimus,chemical,6442177,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4936323'],"['two rapalogues that inhibit mammalian target of rapamycin complex 1 ( mtorc1 ) , everolimus and temsirolimus , have also been introduced in clinical practice for treating patients with mrcc [ xref_bibr , xref_bibr ] .']",1,100.0,40.0,1.0,140.0
3231,mammalian target of rapamycin,protein,p42345,nan,nan,cellosaurus:cvcl_0023,cl:cl:0000255,uberon:uberon:0000468,nan,nan,nan,nan,nan,ppargamma,protein,p37231,nan,nan,i,['none'],['pmc1892639'],['we have reported that ppargamma agonists inhibit nsclc proliferation by inhibiting the mammalian target of rapamycin ( mtor ) signaling pathway through ppargamma dependent and -independent mechanisms [ xref_bibr ] .'],1,100.0,40.0,1.0,140.0
3242,mapk,protein family|protein complex,erk,nan,nan,cellosaurus:cvcl_0134,nan,nan,roscovitine,chemical,160355,nan,nan,nan,nan,nan,nan,nan,i,['phosphorylation'],['pmc2714081'],"['as previously reported , roscovitine induced mapk phosphorylation xref_bibr , while bio blocked phosphorylation on akt s473 ( 29 % of control ) , p90-rsk s380 ( 12 % ) , stat3 s727 ( 26 % ) , and gs ( 56 % ) and induced pp1alpha t320 phosphorylation ( 4.9-fold ) .']",1,100.0,40.0,1.0,140.0
3244,mapk,protein family|protein complex,erk,nan,nan,cellosaurus:cvcl_8262,nan,nan,u0126,chemical,3006531,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4466411'],"['to further clarify whether pd induced autophagy depended on p-p38 mapk and p-jnk activation and p-erk1/2 suppression , cells were treated with u0126 ( an inhibitor of erk1/2 ) , sp600125 ( an inhibitor of jnk ) or sb203580 ( an inhibitor of p38 ) for 4 h followed by treatment with or without pd for 24h .']",1,100.0,40.0,1.0,140.0
3249,mapk,protein family|protein complex,erk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,['generic_event'],['pmc150512'],"['rapamycin completely abolished the phosphorylation of thr389 in p70 s6 kinase in insulin treated cells and also abolished the basal phosphorylation of p70 s6 kinase in control cells , at both time points examined .']",1,100.0,40.0,1.0,140.0
3250,mapk,protein family|protein complex,erk,nan,nan,nan,nan,uberon:uberon:0000105,erk1/2,protein family|protein complex,erk,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc3187934'],"['c-jun n-terminal kinase 1 , another member of the mapk cascade is directly phosphorylated by erk1/2 to activate a number of downstream transcription factors regulating protein translation .']",1,100.0,40.0,1.0,140.0
3251,mapk,protein family|protein complex,erk,nucleus,go:0005634,cellosaurus:cvcl_0025,nan,nan,fgf,protein family,pf00167,nucleus,go:0005634,nan,nan,nan,nan,nan,i,['none'],['pmc4845174'],"['this hypothesis would be consistent with the proposed cycle of activation for r-smad proteins , 29,30 and with our previous results showing that the regulation of smad4 activity by wnt is entirely dependent on an fgf triggered mapk and erk priming mechanism . ++++ this hypothesis would be consistent with the proposed cycle of activation for r-smad proteins , 29,30 and with our previous results showing that the regulation of smad4 activity by wnt is entirely dependent on an fgf triggered mapk and erk priming mechanism .']",1,100.0,40.0,1.0,140.0
3181,lkb1,protein,q15831,nan,nan,nan,nan,nan,berberine,chemical,2353,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4102778'],['berberine may also target lkb1 and ampk .'],1,100.0,40.0,1.0,140.0
3302,mdm2,protein,q00987,nan,nan,cellosaurus:cvcl_0535,nan,nan,nan,nan,nan,nan,nan,cdk4 inhibitors,other,uaz00485,nan,nan,i,['none'],['pmc4480747'],"['the e3 ligase activity of mdm2 is required to prevent geroconversion in cells treated with cdk4 inhibitors . ++++ this indicated that atrx was required for the regulation of mdm2 in responder cells treated with cdk4 inhibitors , and suggests that this might be prevented by c-terminal modifications .']",1,100.0,40.0,1.0,140.0
3309,mdm2,protein,q00987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,atr,protein,p20848,nan,nan,i,['none'],['pmc2954851'],"['atm and atr also directly inhibit mdm2 by phosphorylating it on s395 and s407 , respectively [ xref_bibr , xref_bibr ] .']",1,100.0,40.0,1.0,140.0
3341,mek,protein family|protein complex,mek,nan,nan,cellosaurus:cvcl_0317 ++++ cellosaurus:cvcl_1724,nan,nan,nan,nan,nan,nan,nan,u0126,chemical,3006531,nan,nan,i,['none'],['pmc3436881'],"['furthermore , ras and mek inhibition by u0126 was capable of promoting gene expression of rigi and stat2 at 12 hours in the absence of ifn , as described previously xref_bibr , xref_bibr . ++++ however , when the ras and mek pathway was inhibited by the mek inhibitor u0126 in rasv12 cells , ifn was as effective in inducing an antiviral response as in vector control cells . ++++ similarly , ifn induced antiviral response was restored in ht29 , hct116 and mdah cells when the ras and mek pathway is inhibited by u0126 .']",1,100.0,40.0,1.0,140.0
3310,mdm2,protein,q00987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,atrx,protein,p46100,nan,nan,i,['decreaseamount'],['pmc4480747'],['because atrx deficiency prevents the loss of mdm2 we hypothesize that atrx directly regulates a program that impinges on mdm2 regulation .'],1,100.0,40.0,1.0,140.0
3313,mdm2,protein,q00987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,phosphatase,protein family,pf15698,nan,nan,d,['dephosphorylation'],['pmc4480747'],['the dephosphorylation of serine 395 by the wip1 phosphatase and the binding of mdm2 to mdmx or enigma and pdlim7 had been reported to stabilize mdm2 [ xref_bibr - xref_bibr ] .'],1,100.0,40.0,1.0,140.0
3317,mdm2,protein,q00987,nan,nan,nan,nan,nan,wip1,protein,o15297,nan,nan,nan,nan,nan,nan,nan,i,['ubiquitination'],['pmc2954851'],['wip1 inhibited mdm2 auto-ubiquitination thereby stabilizing the protein [ xref_bibr ] .'],1,100.0,40.0,1.0,140.0
3322,mdm2,protein,q00987,other,go:0005634 ++++ go:go:0005730,cellosaurus:cvcl_0030,nan,nan,nan,nan,nan,nan,nan,npm,protein,p06748,other,go:0005634 ++++ go:go:0005730,i,['none'],['pmc4171619'],"['in order to investigate whether a npm and arf nucleoplasmic complex is responsible for inhibition of mdm2 , we performed large-scale stepwise purification of arf from hela nuclear lysates and identified a high molecular weight complex that elutes after consecutive fractionations ( ion exchange and size exclusion separation columns ) containing both npm and mdm2 in a highly purified protein fraction , indicating a strong molecular interaction between the constituents of the complex ( lower monoq fractions a11 & a12 , xref_supplementary ) . ++++ in agreement , failure to re-localize npm to the nucleoplasm prevents npm mediated inhibition of mdm2 [ xref_bibr ] . ++++ our results suggest that inhibition of mdm2 by npm and arf are not independent and respond to cellular stress via disruption of npm oligomerization . ++++ our data argues for a model whereby mdm2 is inhibited by a nucleoplasmic pool of npm associated arf .']",1,100.0,40.0,1.0,140.0
3335,mek,protein family|protein complex,mek,nan,nan,cellosaurus:cvcl_0023,nan,nan,nan,nan,nan,nan,nan,atorvastatin,chemical,60823,nan,nan,i,['none'],['pmc3789171'],"['atorvastatin and gefitinib synergistically inhibit the pi3k and akt and mek and erk pathways . ++++ therefore , the above results together suggest that inhibition of the pi3k and akt and mek and erk pathways by atorvastatin in kras mutant nsclc cells correlates with disruption of the kras and raf and kras and pi3k complexes irrespective of the pik3ca and pten statuses .']",1,100.0,40.0,1.0,140.0
3336,mek,protein family|protein complex,mek,nan,nan,cellosaurus:cvcl_0023,nan,nan,nan,nan,nan,nan,nan,gefitinib,chemical,123631,nan,nan,i,['none'],['pmc3789171'],['atorvastatin and gefitinib synergistically inhibit the pi3k and akt and mek and erk pathways .'],1,100.0,40.0,1.0,140.0
3143,kras,protein,p01116,nan,nan,nan,nan,uberon:uberon:0000062,fak,protein,q05397,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4558782'],"['however , pharmacologic inhibition of fak kinase activity suppressed kras driven lung adenocarcinomas , suggesting an involvement of fak kinase activity in kras driven lung cancer .']",1,100.0,40.0,1.0,140.0
3142,kras,protein,p01116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,gefitinib,chemical,123631,nan,nan,i,['none'],['pmc3789171'],"['the results indicate that gefitinib fails to disrupt the direct interaction of kras with pi3k and raf , contributing to its resistance in kras mutant nsclc cells .']",1,100.0,40.0,1.0,140.0
3141,kras,protein,p01116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,atorvastatin,chemical,60823,nan,nan,i,['none'],['pmc3789171'],"['the present study shows that atorvastatin at the relative low dose ( 1mum ) works effectively to disrupt the direct interaction of kras with pi3k but not raf , whereas a high dose ( 5mum ) of atorvastatin can inhibit the interaction of mutant kras to raf .']",1,100.0,40.0,1.0,140.0
3140,kras,protein,p01116,nan,nan,cellosaurus:cvcl_0609,nan,nan,nan,nan,nan,nan,nan,gefitinib,chemical,123631,nan,nan,i,['none'],['pmc3789171'],"['the results also showed that 1mum gefitinib time dependently disrupted the kras and pi3k subunit p110alpha and kras and raf complexes in calu3 cells , whereas not in calu3 kras mutant cells .']",1,100.0,40.0,1.0,140.0
3338,mek,protein family|protein complex,mek,nan,nan,cellosaurus:cvcl_0045,nan,nan,phosphoinositide-dependent kinase-1,other,uaz01519,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2683723'],"['an alternative pathway of pip 3 -dependent erk activation involves phosphoinositide dependent kinase-1 ( pdk1 ) , a target of pi3k , which can activate mek directly and erk indirectly through the activation of certain pkc isoforms , although it has been reported that pkcs are not involved in egf induced erk activation .']",1,100.0,40.0,1.0,140.0
3137,kras,protein,p01116,nan,nan,cellosaurus:cvcl_0023,nan,nan,nan,nan,nan,nan,nan,atorvastatin,chemical,60823,nan,nan,i,['none'],['pmc3789171'],"['however , 1mum atorvastatin alone or combined with 1mum gefitinib could not induce the erk inhibition of a549 cell and its kras and pik3ca or kras and pten comutant until the dose of atorvastatin was elevated to 5mum ( xref_fig ) .']",1,100.0,40.0,1.0,140.0
3062,irs,protein family,pf02174,plasma membrane,go:0005886,nan,nan,nan,rasgap,protein family,pf00616,plasma membrane,go:0005886,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc2683723'],"['phosphorylated irs and gab1 recruit cytoplasmic proteins pi3k , grb2-sos , shp2 , and rasgap to the plasma membrane , which results in additional pip 3 production and both activatory and inhibitory regulations of ras activity .']",1,100.0,40.0,1.0,140.0
3058,irs,protein family,pf02174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,shp2,protein,q06124,nan,nan,i,['none'],['pmc2683723'],"['intriguingly , although tyrosine phosphatase shp2 negatively regulates irs , gab1 and pi3k and akt signaling , it positively influences erk activity , which is partly explained by dephosphorylation of the specific sites involved in rasgap binding .']",1,100.0,40.0,1.0,140.0
2921,igf-1,protein,p05019,nan,nan,cellosaurus:cvcl_0041 ++++ cellosaurus:cvcl_1658,cl:cl:0000646,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,['none'],['pmc2868031'],"['igf-1 stimulation of mtor represses pp2a , resulting in activation of erk1/2 and this is prevented by rapamycin . ++++ igf-1 stimulated the cell motility by ~ 3-fold , and this was dramatically attenuated by rapamycin to the basal level ( xref_fig ) . ++++ in summary , here we have shown that rapamycin inhibits igf-1 stimulated cell motility by activating pp2a and concurrently inhibiting phosphorylation of erk1/2 . ++++ pharmacological or genetic inhibition of pp2a attenuated the inhibitory effect of rapamycin on igf-1-stimulated phosphorylation of erk1/2 as well as cell motility , whereas expression of constitutively active mkk1 results in robust phosphorylation of erk1/2 and confers resistance to rapamycin inhibition of igf-1 stimulated cell motility . ++++ to determine whether a similar mechanism could explain rapamycin inhibition of igf-1 activation of erk1/2 , we used okadaic acid ( oa ) , a relatively specific pp2a inhibitor xref_bibr . ++++ of interest , expression of dn-pp2a did not significantly affect the basal cell motility , but conferred high resistance to rapamycin inhibition of the basal or igf-1 stimulated cell motility ( xref_fig ) .']",1,100.0,40.0,1.0,140.0
3467,mtor,protein,p42345,nan,nan,nan,nan,nan,acid,chemical,444212,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4258317'],['the fatc domain is crucial for the kinase activity of mtor since deletion of even a single amino acid from this domain inhibits mtor kinase activity .'],1,100.0,40.0,1.0,140.0
2981,insulin,protein,p01308,nan,nan,nan,nan,nan,cyclin,protein,p12004,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4076706'],"['consistent with elevated refeeding blood glucose levels , d1 lko mice exhibited moderate , yet significant insulin and glucose intolerance , further supporting that cyclin d1-cdk4 mediates , at least in part , insulin action in liver ( xref_fig ) .']",1,100.0,40.0,1.0,140.0
2980,insulin,protein,p01308,nan,nan,nan,cl:cl:0000082,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,['none'],['pmc150512'],"['two inhibitors of pi 3-kinase , wortmannin and ly294002 , and an inhibitor of p70 s6 kinase activation , rapamycin , blocked the inhibitory effect of insulin on sp-a gene expression .']",1,100.0,40.0,1.0,140.0
2978,insulin,protein,p01308,nan,nan,nan,cl:cl:0000082,nan,nan,nan,nan,nan,nan,ly294002,chemical,3973,nan,nan,i,['none'],['pmc150512'],"['two inhibitors of pi 3-kinase , wortmannin and ly294002 , and an inhibitor of p70 s6 kinase activation , rapamycin , blocked the inhibitory effect of insulin on sp-a gene expression .']",1,100.0,40.0,1.0,140.0
2976,insulin,protein,p01308,nan,nan,cellosaurus:cvcl_1561,nan,nan,alpha-actin gene,other,uaz01238,nan,nan,nan,nan,nan,nan,nan,d,['transcription'],['pmc150512'],['insulin did not decrease human alpha-actin gene transcription at any time point .'],1,100.0,40.0,1.0,140.0
2975,insulin,protein,p01308,nan,nan,cellosaurus:cvcl_0045,nan,nan,gab1,protein,q13480,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2683723'],"['the model explains how the network structures , which involve ( i ) gab1 mediated insulin and egf coincidence detection , ( ii ) coherent feed-forward loop from egfr to raf via src , and ( iii ) multiple positive ( pi3k-pip 3 -gab1-pi3k ) and negative ( erk-gab1 , erk-sos , mtor-irs ) feedback loops contribute to the control of insulin plus egf signaling ( a network motif where an initial input signal ( a ) induces an intermediate input signal ( b ) , and both the initial and intermediate inputs are needed to generate the final output ( c ) , is referred as a coherent feed-forward loop ) .']",1,100.0,40.0,1.0,140.0
2973,injury,biological process,go:0090303,nan,nan,nan,nan,nan,sulfur mustard,chemical,10461,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2206000'],['signaling molecules in sulfur mustard induced cutaneous injury .'],1,100.0,40.0,1.0,140.0
2971,injury,biological process,go:0090303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,aicar,chemical,17513,nan,nan,i,['none'],['pmc4102778'],['aicar is used to prevent cardiac ischemic injury and is also used in diabetes care .'],1,100.0,40.0,1.0,140.0
3462,mtor,protein,p42345,nan,nan,cellosaurus:cvcl_a737,nan,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,['phosphorylation'],['pmc1289294'],"['rapamycin is an inhibitor of mtor kinase and reduces phosphorylation of its substrates , p70s6k and 4ebp1 [ xref_bibr ] .']",1,100.0,40.0,1.0,140.0
2960,inflammation,biological process,go:0006954,nan,nan,nan,nan,nan,cox-2,protein,p35354,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3660063'],['cox-2 also promotes inflammation and immunosuppression and conversion of procarcinogens into carcinogens that contribute to tumorigenesis and a malignant phenotype .'],1,100.0,40.0,1.0,140.0
3463,mtor,protein,p42345,nan,nan,cellosaurus:cvcl_m034,nan,nan,nan,nan,nan,nan,nan,rheb,protein,q15382,nan,nan,i,['none'],['pmc4258317'],"['also the phosphorylation of these sites is rather insensitive to rapamycin which could suggest that these phosphorylations are possibly mtor independent however since these phosphorylations are inhibited by amino acids starvation of cells and by mtor kinase inhibitors like wortmannin , activated by rheb ( an mtor activator ) , and are decreased in mtor knockdown cells which suggests that the phosphorylation of these n-terminal residues is mediated by mtor but through a raptor independent mechanism [ xref_bibr ] .']",1,100.0,40.0,1.0,140.0
3464,mtor,protein,p42345,nan,nan,nan,cl:cl:0000037,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,['none'],['pmc4102778'],['these studies demonstrated that two drugs ( gsk inhibitor chir99021 and the mtor blocker rapamycin ) increased the number of long-term hsc in vivo [ xref_bibr ] .'],1,100.0,40.0,1.0,140.0
3466,mtor,protein,p42345,nan,nan,nan,nan,nan,3-awa,other,uaz01281,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4700468'],"['given that 3-awa inhibits c-flip through abrogation of translation initiation by co-targeting mtor and mnk-eif4e , it ( 3-awa ) can be exploited as a lead pharmacophore for promising anti-cancer therapeutic development .']",1,100.0,40.0,1.0,140.0
2950,il-6,protein,p05231,nan,nan,nan,nan,nan,cdk inhibitors,other,uaz01526,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3084876'],['our data suggest that the use of cdk inhibitors may block production of il-6 and therefore be of benefit to myeloma patients .'],1,100.0,40.0,1.0,140.0
2984,insulin,protein,p01308,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,['none'],['pmc2637922'],"['rapamycin caused partial inhibition of the insulin stimulated release of 4epb1 from eif4e ( xref_fig a ) , consistent with its partial inhibition of s65 phosphorylation ( xref_fig a ) .']",1,100.0,40.0,1.0,140.0
2947,il-6,protein,p05231,nan,nan,nan,cl:cl:0000312,nan,p38 inhibitor,other,uaz02194,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2206000'],"['treatment of nheks with sb203580 , a p38 inhibitor , decreased the sm induced production of il-6 , il-8 , and tnf-alpha by ~ 90 % and il-1 beta by ~ 50 % .']",1,100.0,40.0,1.0,140.0
2946,il-6,protein,p05231,nan,nan,cellosaurus:cvcl_0063,uaz:uaz01530,nan,cdk inhibitor,other,uaz01356,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3084876'],"['while cell viability was unaffected , the production of il-6 was dramatically reduced in mouse b cells treated with the cdk inhibitor su9516 ( xref_fig ) and human b cells treated with the cdk4 specific inhibitor cink ( xref_fig ) .']",1,100.0,40.0,1.0,140.0
3471,mtor,protein,p42345,nan,nan,nan,nan,nan,diacylglycerol,chemical,9543762,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3010991'],['mtor can also be activated by diacylglycerol kinase produced pa xref_bibr .'],1,100.0,40.0,1.0,140.0
2944,il-1beta,protein,p01584,nan,nan,nan,nan,nan,h-ras,protein,p01112,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3325598'],"['the relative levels of secreted il-1alpha , il-1beta and il-8 induced by myr-akt1 and h-ras v12 ( xref_fig ) reflected the mrna expression data ( xref_fig ) .']",1,100.0,40.0,1.0,140.0
3472,mtor,protein,p42345,nan,nan,nan,nan,nan,mcl-1,protein,q07820,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3388235'],['26 these results indicate that mcl-1 is a downstream target of mtor and s6k1 .'],1,100.0,40.0,1.0,140.0
3473,mtor,protein,p42345,nan,nan,nan,nan,nan,mnk1,protein,q9bub5,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4700468'],"[""paradoxically , the inhibition of mtor signaling with rapamycin triggered eif4e phosphorylation as evidenced by the activation of its activator mnk1 and importantly 3-awa abrogated rapamycin 's ability to increase eif4e and mnk1 phosphorylation ( xref_fig ) .""]",1,100.0,40.0,1.0,140.0
3474,mtor,protein,p42345,nan,nan,nan,nan,nan,mtor inhibitors,other,uaz00023,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4496196'],"['the conventional mtor inhibitors , rapamycin and its analogues ( rapalogs ) , are specific allosteric inhibitors of mtor .']",1,100.0,40.0,1.0,140.0
3475,mtor,protein,p42345,nan,nan,nan,nan,nan,mtorc2,protein family|protein complex,mtorc2,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4496196'],['elucidation of the mechanism by which mtorc2 inhibition triggers gsk3 dependent degradation of these oncogenic proteins has been ongoing .'],1,100.0,40.0,1.0,140.0
3477,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,alpha-tea,protein,p10277,nan,nan,i,['amount'],['pmc3039802'],"['taken together , data in xref_fig show that alpha-tea can downregulate the basal levels of active akt , erk1/2 , and mtor , and can act cooperatively with either chemical- or genetic based inhibitors of these prosurvival mediators to enhance breast cancer cell death .']",1,100.0,40.0,1.0,140.0
3479,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,complex-2,other,uaz02206,nan,nan,i,['none'],['pmc1892639'],"['we set out to test the hypothesis that ppargamma ligands activate tuberous sclerosis complex-2 ( tsc2 ) , a tumor suppressor gene that inhibits mtor signaling .']",1,100.0,40.0,1.0,140.0
2923,igf-1,protein,p05019,nan,nan,nan,cl:cl:0000863 ++++ cl:cl:0000890 ++++ cl:cl:0000235,uberon:uberon:0000170,il-4,protein,p05112,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3135566'],"['il-4 stimulates primary lung macrophages to produce significantly more igf-1 in vitro . ++++ in agreement with these reports , we show that in vitro il-4 stimulation enhanced igf-1 production by primary bal macrophages . ++++ the lungs of tumor bearing mice contained 3.5-times more igf-1 than naive littermates , and media conditioned by freshly isolated tumor educated macrophages contained more igf-1 than media conditioned by naive macrophages ; il-4 stimulated igf-1 production by both macrophage subsets . ++++ il-4 stimulates primary lung macrophages to produce significantly more igf-1 in vitro .']",1,100.0,40.0,1.0,140.0
2922,igf-1,protein,p05019,nan,nan,nan,cl:cl:0000235,nan,nan,nan,nan,nan,nan,scr sirna construct,other,uaz01864,nan,nan,i,['none'],['pmc3135566'],['the scr sirna construct decreased macrophage igf-1 secretion to a lesser extent .'],1,100.0,40.0,1.0,140.0
2982,insulin,protein,p01308,nan,nan,nan,nan,nan,ly294002,chemical,3973,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc150512'],"['however , 2 mum ly294002 abolished the inhibitory effects of insulin , but did not affect basal sp-a mrna levels .']",1,100.0,40.0,1.0,140.0
2985,insulin,protein,p01308,nan,nan,uaz:cvcl_9115,nan,nan,tsc1-2,other,uaz00120,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2172316'],['tsc1-2 promotes insulin signaling by inhibiting s6k action on irs-1 .'],1,100.0,40.0,1.0,140.0
3057,irs,protein family,pf02174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,rapalog,other,uaz00097,nan,nan,i,['phosphorylation'],['pmc3750018'],"['by inhibiting mtorc1 , rapalog prevents inhibitory irs phosphorylation and degradation and activates pi3k and akt [ xref_bibr , xref_bibr ] and erk pathway through the feedback loops [ xref_bibr - xref_bibr ] .']",1,100.0,40.0,1.0,140.0
3452,mtor,protein,p42345,nan,nan,cellosaurus:cvcl_0063 ++++ cellosaurus:cvcl_0030,nan,nan,pa,protein,p02810,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3010991'],"['while phosphatidic acid ( pa )-mediated activation of mtor , as revealed by drastic reduction in reporter expression by n-butanol , primarily contributed to the high level expression in pc3 , multiple pathways involving pa , pi3k and akt and erk1/2 appear to contribute to the abundant reporter expression in 293t . ++++ a remarkable observation was that pkcs were hyperphosphorylated in pc3 than in 293t ( xref_fig ) suggesting that the two cell lines could significantly differ in the pa mediated mechanism of mtor activation . ++++ the finding that pkcs ( conventional and novel ) are highly phosphorylated in pc3 than in pc3bm and hela ( xref_fig ) and that mtor phosphorylation at s2448 was higher with the akt and phospho-akt levels being either similar or lower than in pc3bm and hela suggest that mtor in pc3 is primarily activated by pa mediated mechanism .']",1,100.0,40.0,1.0,140.0
3056,irs,protein family,pf02174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,phosphatase,protein family,pf15698,nan,nan,i,['none'],['pmc2683723'],"['intriguingly , although tyrosine phosphatase shp2 negatively regulates irs , gab1 and pi3k and akt signaling , it positively influences erk activity , which is partly explained by dephosphorylation of the specific sites involved in rasgap binding .']",1,100.0,40.0,1.0,140.0
3055,irs,protein family,pf02174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,p70s6k,other,ua-bp-ggp-00308,nan,nan,i,['phosphorylation'],['pmc3837323'],"['this negative regulation of akt activity by mtorc1 is dependent on p70s6k mediated phosphorylation of insulin receptor substrate ( irs ) 1 adapter protein , downstream of insulin receptor and/or insulin like growth factor-1 receptor [ xref_bibr , xref_bibr , xref_bibr ] , as irs1 phosphorylation on ser 307 and ser 636/639 by p70s6k targets the adapter protein to proteosomal degradation [ xref_bibr ] .']",1,100.0,40.0,1.0,140.0
